mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Model__criterion,param_Model__min_samples_leaf,param_Model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.9850463072458903,0.03390853680672956,0.11956532796223958,0.0389329520945821,gini,15,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 100}",0.8122742019884878,0.8020104089904199,0.8328396381665147,0.8157080830484741,0.012818060104104278,2
1.0699872970581055,0.02704477666720464,0.10586802164713542,0.0004286235758374448,gini,15,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 200}",0.8123181580324437,0.8016346218262209,0.8326624948900978,0.8155384249162542,0.01287011566431421,5
1.3506176471710205,0.04084675370141014,0.17586406071980795,0.015426532903115955,gini,15,500,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 500}",0.8121862899005756,0.801208590138675,0.8320293911092943,0.8151414237161817,0.012754869789449992,17
1.7543059984842937,0.03056919253227403,0.2200897534688314,0.014027840236822815,gini,15,1000,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 1000}",0.8123851386708529,0.8013342014470423,0.831758959361865,0.81515943315992,0.012574816260498403,15
1.0314640998840332,0.05068293900056449,0.09714039166768391,0.0037081279616109305,gini,20,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 100}",0.8112998430141287,0.8015100572787566,0.8329402639330001,0.8152500547419619,0.013131834147169407,7
1.090608835220337,0.04592696455462826,0.12494572003682454,0.02281504591327073,gini,20,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 200}",0.8114411302982731,0.8017895424398742,0.8332473821577938,0.8154926849653137,0.013158273477033217,6
1.4117906888326008,0.04206951733995964,0.15946062405904135,0.0068033669614896266,gini,20,500,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 500}",0.8108466771323913,0.8012462735311849,0.8327945662086097,0.814962505624062,0.013204260066224816,33
1.8648936748504639,0.09105159419184276,0.22793499628702799,0.011300021715030561,gini,20,1000,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 1000}",0.8110832025117739,0.8013394352515575,0.8330230705533369,0.8151485694388895,0.013250373395319957,16
0.8689829508463541,0.0031249905204638224,0.08868575096130371,0.0010042156777622464,gini,25,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 100}",0.8095028780743068,0.8018303661150934,0.8331058771736739,0.8148130404543581,0.013308838325732557,42
0.9864373207092285,0.024289117345181056,0.1046452522277832,0.000706351352380622,gini,25,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 200}",0.8098377812663526,0.8017235965029812,0.8330597570307013,0.8148737116000118,0.013279286750395955,36
