mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0015436808268229167,0.00046832928039804687,0.0006681283315022787,0.00013959651561758546,1,{'max_depth': 1},-0.3956678700361011,-0.4007220216606498,-0.3836705202312139,-0.3933534706426549,0.007151025971322886,1
0.0014679431915283203,0.0003738376457578461,0.0007040500640869141,0.0001201404129040222,2,{'max_depth': 2},-0.3956678700361011,-0.4007220216606498,-0.3836705202312139,-0.3933534706426549,0.007151025971322886,1
0.0011297067006429036,6.087890798304544e-05,0.0006839434305826823,0.0002609306879272824,3,{'max_depth': 3},-0.4043321299638989,-0.4014440433212996,-0.3865606936416185,-0.39744562230893904,0.007786591688421063,3
0.0012149810791015625,6.988904915281139e-05,0.0007611910502115885,0.00019065312117466025,4,{'max_depth': 4},-0.4,-0.4050541516245487,-0.40390173410404623,-0.40298529524286497,0.0021627154691412727,4
